,ac4C
0,LOC_Os09g35730.1.MSUv7.0
1,LOC_Os01g47400.2.MSUv7.0
2,LOC_Os03g46770.1.MSUv7.0
3,LOC_Os08g45040.1.MSUv7.0
4,LOC_Os01g46070.1.MSUv7.0
5,LOC_Os03g17100.1.MSUv7.0
6,LOC_Os03g55110.1.MSUv7.0
7,LOC_Os07g47710.1.MSUv7.0
8,LOC_Os05g41480.1.MSUv7.0
9,LOC_Os01g13210.1.MSUv7.0
10,LOC_Os04g43130.1.MSUv7.0
11,LOC_Os09g31080.4.MSUv7.0
12,LOC_Os05g41780.1.MSUv7.0
13,LOC_Os02g41840.1.MSUv7.0
14,LOC_Os03g08020.1.MSUv7.0
15,LOC_Os02g34990.2.MSUv7.0
16,LOC_Os05g02070.2.MSUv7.0
17,LOC_Os11g06720.1.MSUv7.0
18,LOC_Os11g05860.1.MSUv7.0
19,LOC_Os10g27190.1.MSUv7.0
20,LOC_Os03g61150.3.MSUv7.0
21,LOC_Os03g22340.1.MSUv7.0
22,LOC_Os12g36220.1.MSUv7.0
23,LOC_Os02g10010.2.MSUv7.0
24,LOC_Os11g38959.1.MSUv7.0
25,LOC_Os07g39820.1.MSUv7.0
26,LOC_Os10g32820.1.MSUv7.0
27,LOC_Os06g04020.1.MSUv7.0
28,LOC_Os01g64100.1.MSUv7.0
29,LOC_Os03g55350.1.MSUv7.0
30,LOC_Os07g47510.1.MSUv7.0
31,LOC_Os01g24880.1.MSUv7.0
32,LOC_Os08g17160.1.MSUv7.0
33,LOC_Os03g40270.1.MSUv7.0
34,LOC_Os03g31880.1.MSUv7.0
35,LOC_Os05g24160.2.MSUv7.0
36,LOC_Os05g47890.1.MSUv7.0
37,LOC_Os12g23200.1.MSUv7.0
38,LOC_Os03g21040.2.MSUv7.0
39,LOC_Os01g61814.1.MSUv7.0
40,LOC_Os06g11310.1.MSUv7.0
41,LOC_Os01g42650.1.MSUv7.0
42,LOC_Os07g46670.2.MSUv7.0
43,LOC_Os03g49464.1.MSUv7.0
44,LOC_Os05g28210.1.MSUv7.0
45,LOC_Os12g05210.1.MSUv7.0
46,LOC_Os11g47830.2.MSUv7.0
47,LOC_Os01g05650.1.MSUv7.0
48,LOC_Os04g18090.1.MSUv7.0
49,LOC_Os03g56670.1.MSUv7.0
50,LOC_Os04g40190.1.MSUv7.0
51,LOC_Os05g02070.3.MSUv7.0
52,LOC_Os04g55600.1.MSUv7.0
53,LOC_Os08g35760.1.MSUv7.0
54,LOC_Os03g61150.2.MSUv7.0
55,LOC_Os12g29760.1.MSUv7.0
56,LOC_Os02g44080.1.MSUv7.0
57,LOC_Os11g26850.2.MSUv7.0
58,LOC_Os05g06460.1.MSUv7.0
59,LOC_Os07g03279.1.MSUv7.0
60,LOC_Os10g05950.1.MSUv7.0
61,LOC_Os04g55710.1.MSUv7.0
62,LOC_Os01g72080.1.MSUv7.0
63,LOC_Os02g02890.1.MSUv7.0
64,LOC_Os03g38260.1.MSUv7.0
65,LOC_Os04g17700.1.MSUv7.0
66,LOC_Os07g39680.1.MSUv7.0
67,LOC_Os05g23850.1.MSUv7.0
68,LOC_Os02g05660.1.MSUv7.0
69,LOC_Os05g05680.1.MSUv7.0
70,LOC_Os12g05430.1.MSUv7.0
71,LOC_Os06g50370.1.MSUv7.0
72,LOC_Os01g43020.1.MSUv7.0
73,LOC_Os05g49860.1.MSUv7.0
74,LOC_Os01g06290.4.MSUv7.0
75,LOC_Os06g19590.1.MSUv7.0
76,LOC_Os04g52090.1.MSUv7.0
77,LOC_Os04g23140.2.MSUv7.0
78,LOC_Os01g17170.1.MSUv7.0
79,LOC_Os04g58780.2.MSUv7.0
80,LOC_Os08g37280.1.MSUv7.0
81,LOC_Os09g07830.1.MSUv7.0
82,LOC_Os05g38640.1.MSUv7.0
83,LOC_Os05g48630.1.MSUv7.0
84,LOC_Os09g02214.3.MSUv7.0
85,LOC_Os02g48710.1.MSUv7.0
86,LOC_Os05g15770.1.MSUv7.0
87,LOC_Os11g24630.1.MSUv7.0
88,LOC_Os08g32080.1.MSUv7.0
89,LOC_Os05g27780.1.MSUv7.0
90,LOC_Os05g41670.1.MSUv7.0
91,LOC_Os05g38520.1.MSUv7.0
92,LOC_Os07g03458.1.MSUv7.0
93,LOC_Os01g32770.1.MSUv7.0
94,LOC_Os01g41710.1.MSUv7.0
95,LOC_Os01g52864.4.MSUv7.0
96,LOC_Os02g20934.4.MSUv7.0
97,LOC_Os03g61260.1.MSUv7.0
98,LOC_Os02g11040.2.MSUv7.0
99,LOC_Os09g31180.1.MSUv7.0
100,LOC_Os06g22960.1.MSUv7.0
101,LOC_Os08g43190.1.MSUv7.0
102,LOC_Os01g09510.1.MSUv7.0
103,LOC_Os07g47480.2.MSUv7.0
104,LOC_Os03g27340.1.MSUv7.0
105,LOC_Os08g06330.1.MSUv7.0
106,LOC_Os05g49880.1.MSUv7.0
