,m5C
0,LOC_Os01g01170.1.MSUv7.0
1,LOC_Os01g01350.1.MSUv7.0
2,LOC_Os01g01350.2.MSUv7.0
3,LOC_Os01g01369.1.MSUv7.0
4,LOC_Os01g01520.1.MSUv7.0
5,LOC_Os01g01650.1.MSUv7.0
6,LOC_Os01g01660.1.MSUv7.0
7,LOC_Os01g01700.1.MSUv7.0
8,LOC_Os01g01740.1.MSUv7.0
9,LOC_Os01g01870.1.MSUv7.0
10,LOC_Os01g01890.1.MSUv7.0
11,LOC_Os01g02150.1.MSUv7.0
12,LOC_Os01g02720.1.MSUv7.0
13,LOC_Os01g02720.2.MSUv7.0
14,LOC_Os01g02910.1.MSUv7.0
15,LOC_Os01g02940.1.MSUv7.0
16,LOC_Os01g02940.2.MSUv7.0
17,LOC_Os01g02940.3.MSUv7.0
18,LOC_Os01g02940.4.MSUv7.0
19,LOC_Os01g02940.6.MSUv7.0
20,LOC_Os01g03060.1.MSUv7.0
21,LOC_Os01g03060.2.MSUv7.0
22,LOC_Os01g03060.3.MSUv7.0
23,LOC_Os01g03110.1.MSUv7.0
24,LOC_Os01g03144.1.MSUv7.0
25,LOC_Os01g03310.1.MSUv7.0
26,LOC_Os01g03340.1.MSUv7.0
27,LOC_Os01g03360.1.MSUv7.0
28,LOC_Os01g03490.1.MSUv7.0
29,LOC_Os01g03680.1.MSUv7.0
30,LOC_Os01g03870.1.MSUv7.0
31,LOC_Os01g03950.1.MSUv7.0
32,LOC_Os01g03980.1.MSUv7.0
33,LOC_Os01g04010.1.MSUv7.0
34,LOC_Os01g04020.1.MSUv7.0
35,LOC_Os01g04020.2.MSUv7.0
36,LOC_Os01g04050.1.MSUv7.0
37,LOC_Os01g04100.1.MSUv7.0
38,LOC_Os01g04120.1.MSUv7.0
39,LOC_Os01g04260.1.MSUv7.0
40,LOC_Os01g04330.1.MSUv7.0
41,LOC_Os01g04350.1.MSUv7.0
42,LOC_Os01g04600.1.MSUv7.0
43,LOC_Os01g04710.1.MSUv7.0
44,LOC_Os01g04730.1.MSUv7.0
45,LOC_Os01g04814.1.MSUv7.0
46,LOC_Os01g04814.3.MSUv7.0
47,LOC_Os01g04814.4.MSUv7.0
48,LOC_Os01g04930.1.MSUv7.0
49,LOC_Os01g05010.1.MSUv7.0
50,LOC_Os01g05130.1.MSUv7.0
51,LOC_Os01g05140.1.MSUv7.0
52,LOC_Os01g05220.1.MSUv7.0
53,LOC_Os01g05490.1.MSUv7.0
54,LOC_Os01g05490.2.MSUv7.0
55,LOC_Os01g05500.2.MSUv7.0
56,LOC_Os01g05540.1.MSUv7.0
57,LOC_Os01g05630.1.MSUv7.0
58,LOC_Os01g05650.1.MSUv7.0
59,LOC_Os01g05970.1.MSUv7.0
60,LOC_Os01g06010.1.MSUv7.0
61,LOC_Os01g06060.1.MSUv7.0
62,LOC_Os01g06640.1.MSUv7.0
63,LOC_Os01g06640.3.MSUv7.0
64,LOC_Os01g06640.2.MSUv7.0
65,LOC_Os01g07060.1.MSUv7.0
66,LOC_Os01g07240.1.MSUv7.0
67,LOC_Os01g07500.1.MSUv7.0
68,LOC_Os01g07520.1.MSUv7.0
69,LOC_Os01g07760.2.MSUv7.0
70,LOC_Os01g07760.1.MSUv7.0
71,LOC_Os01g07850.1.MSUv7.0
72,LOC_Os01g08260.2.MSUv7.0
73,LOC_Os01g08260.1.MSUv7.0
74,LOC_Os01g08270.1.MSUv7.0
75,LOC_Os01g08270.4.MSUv7.0
76,LOC_Os01g08280.1.MSUv7.0
77,LOC_Os01g08280.2.MSUv7.0
78,LOC_Os01g08320.1.MSUv7.0
79,LOC_Os01g08410.1.MSUv7.0
80,LOC_Os01g08470.1.MSUv7.0
81,LOC_Os01g08540.1.MSUv7.0
82,LOC_Os01g08660.1.MSUv7.0
83,LOC_Os01g08700.1.MSUv7.0
84,LOC_Os01g08700.8.MSUv7.0
85,LOC_Os01g08760.1.MSUv7.0
86,LOC_Os01g09010.1.MSUv7.0
87,LOC_Os01g09120.1.MSUv7.0
88,LOC_Os01g09120.2.MSUv7.0
89,LOC_Os01g09200.1.MSUv7.0
90,LOC_Os01g09320.1.MSUv7.0
91,LOC_Os01g09430.1.MSUv7.0
92,LOC_Os01g09450.1.MSUv7.0
93,LOC_Os01g09450.2.MSUv7.0
94,LOC_Os01g09460.1.MSUv7.0
95,LOC_Os01g09510.1.MSUv7.0
96,LOC_Os01g09510.4.MSUv7.0
97,LOC_Os01g09620.1.MSUv7.0
98,LOC_Os01g09620.2.MSUv7.0
99,LOC_Os01g09790.1.MSUv7.0
100,LOC_Os01g09830.1.MSUv7.0
101,LOC_Os01g09890.1.MSUv7.0
102,LOC_Os01g10010.1.MSUv7.0
103,LOC_Os01g10050.2.MSUv7.0
104,LOC_Os01g10050.1.MSUv7.0
105,LOC_Os01g10490.1.MSUv7.0
106,LOC_Os01g10680.2.MSUv7.0
107,LOC_Os01g10680.1.MSUv7.0
108,LOC_Os01g10850.1.MSUv7.0
109,LOC_Os01g10860.1.MSUv7.0
110,LOC_Os01g11150.1.MSUv7.0
111,LOC_Os01g11160.1.MSUv7.0
112,LOC_Os01g11240.1.MSUv7.0
113,LOC_Os01g11590.2.MSUv7.0
114,LOC_Os01g11710.1.MSUv7.0
115,LOC_Os01g12090.1.MSUv7.0
116,LOC_Os01g12390.1.MSUv7.0
117,LOC_Os01g12440.1.MSUv7.0
118,LOC_Os01g12640.2.MSUv7.0
119,LOC_Os01g12640.1.MSUv7.0
120,LOC_Os01g12660.1.MSUv7.0
121,LOC_Os01g12690.1.MSUv7.0
122,LOC_Os01g12710.1.MSUv7.0
123,LOC_Os01g12720.1.MSUv7.0
124,LOC_Os01g12810.5.MSUv7.0
125,LOC_Os01g12810.1.MSUv7.0
126,LOC_Os01g12810.2.MSUv7.0
127,LOC_Os01g12810.4.MSUv7.0
128,LOC_Os01g12900.1.MSUv7.0
129,LOC_Os01g12900.3.MSUv7.0
130,LOC_Os01g12900.2.MSUv7.0
131,LOC_Os01g13030.2.MSUv7.0
132,LOC_Os01g13030.1.MSUv7.0
133,LOC_Os01g13080.1.MSUv7.0
134,LOC_Os01g13120.1.MSUv7.0
135,LOC_Os01g13130.1.MSUv7.0
136,LOC_Os01g13210.1.MSUv7.0
137,LOC_Os01g13210.2.MSUv7.0
138,LOC_Os01g13560.1.MSUv7.0
139,LOC_Os01g13660.1.MSUv7.0
140,LOC_Os01g13660.2.MSUv7.0
141,LOC_Os01g13700.1.MSUv7.0
142,LOC_Os01g13730.1.MSUv7.0
143,LOC_Os01g13760.1.MSUv7.0
144,LOC_Os01g14070.1.MSUv7.0
145,LOC_Os01g14410.1.MSUv7.0
146,LOC_Os01g14514.1.MSUv7.0
147,LOC_Os01g14670.1.MSUv7.0
148,LOC_Os01g14720.1.MSUv7.0
149,LOC_Os01g14770.1.MSUv7.0
150,LOC_Os01g14820.1.MSUv7.0
151,LOC_Os01g14850.1.MSUv7.0
152,LOC_Os01g14950.1.MSUv7.0
153,LOC_Os01g14960.1.MSUv7.0
154,LOC_Os01g15010.1.MSUv7.0
155,LOC_Os01g15110.1.MSUv7.0
156,LOC_Os01g15120.1.MSUv7.0
157,LOC_Os01g15270.1.MSUv7.0
158,LOC_Os01g15290.2.MSUv7.0
159,LOC_Os01g15290.1.MSUv7.0
160,LOC_Os01g15320.1.MSUv7.0
161,LOC_Os01g15630.1.MSUv7.0
162,LOC_Os01g15630.2.MSUv7.0
163,LOC_Os01g15640.1.MSUv7.0
164,LOC_Os01g15900.1.MSUv7.0
165,LOC_Os01g16146.1.MSUv7.0
166,LOC_Os01g16152.1.MSUv7.0
167,LOC_Os01g16250.1.MSUv7.0
168,LOC_Os01g16430.1.MSUv7.0
169,LOC_Os01g16450.1.MSUv7.0
170,LOC_Os01g16510.1.MSUv7.0
171,LOC_Os01g16650.1.MSUv7.0
172,LOC_Os01g16670.1.MSUv7.0
173,LOC_Os01g16870.3.MSUv7.0
174,LOC_Os01g16870.2.MSUv7.0
175,LOC_Os01g16870.1.MSUv7.0
176,LOC_Os01g16890.1.MSUv7.0
177,LOC_Os01g16930.1.MSUv7.0
178,LOC_Os01g16950.1.MSUv7.0
179,LOC_Os01g16960.1.MSUv7.0
180,LOC_Os01g17150.1.MSUv7.0
181,LOC_Os01g17170.1.MSUv7.0
182,LOC_Os01g17170.2.MSUv7.0
183,LOC_Os01g17190.1.MSUv7.0
184,LOC_Os01g18050.1.MSUv7.0
185,LOC_Os01g18110.1.MSUv7.0
186,LOC_Os01g18170.1.MSUv7.0
187,LOC_Os01g18640.1.MSUv7.0
188,LOC_Os01g18640.2.MSUv7.0
189,LOC_Os01g18660.1.MSUv7.0
190,LOC_Os01g19020.1.MSUv7.0
191,LOC_Os01g19130.1.MSUv7.0
192,LOC_Os01g19490.1.MSUv7.0
193,LOC_Os01g19694.1.MSUv7.0
194,LOC_Os01g19740.1.MSUv7.0
195,LOC_Os01g19800.1.MSUv7.0
196,LOC_Os01g19820.2.MSUv7.0
197,LOC_Os01g19820.4.MSUv7.0
198,LOC_Os01g19820.1.MSUv7.0
199,LOC_Os01g19820.3.MSUv7.0
200,LOC_Os01g20730.1.MSUv7.0
201,LOC_Os01g20780.1.MSUv7.0
202,LOC_Os01g21070.1.MSUv7.0
203,LOC_Os01g21120.1.MSUv7.0
204,LOC_Os01g21310.1.MSUv7.0
205,LOC_Os01g21560.1.MSUv7.0
206,LOC_Os01g22010.2.MSUv7.0
207,LOC_Os01g22010.1.MSUv7.0
208,LOC_Os01g22010.3.MSUv7.0
209,LOC_Os01g22010.4.MSUv7.0
210,LOC_Os01g22230.1.MSUv7.0
211,LOC_Os01g22230.2.MSUv7.0
212,LOC_Os01g22352.1.MSUv7.0
213,LOC_Os01g22380.1.MSUv7.0
214,LOC_Os01g22490.1.MSUv7.0
