,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
A1,4.37E-22,2.62E-17,1.63E-14,1.57E-12,5.41E-11,9.78E-10,1.13E-08,9.40E-08,6.10E-07,3.24E-06,1.47E-05,5.86E-05,0.000208747,0.00067675,0.002022898,0.005633861,0.014744655,0.036518338,0.086089087,0.19408256,0.419959711,0.874343269,1.753213256,3.382298897,6.254041726,11.00356002,18.22690214,28.08255149,39.86979126,52.07246965,63.06011957,71.84994543,78.28548664,82.72616436,85.68328874,87.61613718,88.8700898,89.68320524,90.21242462,90.55899283
A2,7.71E-22,4.08E-17,2.36E-14,2.16E-12,7.16E-11,1.25E-09,1.41E-08,1.14E-07,7.26E-07,3.79E-06,1.69E-05,6.63E-05,0.000232671,0.000744356,0.002197637,0.006050125,0.01566298,0.038397646,0.089648427,0.200269226,0.429636203,0.887358564,1.766463171,3.386930449,6.234483385,10.94736131,18.16140434,28.14222295,40.34234842,53.33047419,65.3868873,75.31588154,82.77017467,88.01960767,91.57183974,93.92315618,95.46407671,96.47161049,97.13201124,97.56716641
A3,1.04E-21,5.19E-17,2.90E-14,2.59E-12,8.41E-11,1.45E-09,1.60E-08,1.29E-07,8.10E-07,4.19E-06,1.85E-05,7.21E-05,0.000251456,0.000799267,0.002345588,0.006421137,0.016535554,0.040333845,0.09371952,0.208400291,0.445059054,0.91501071,1.812712322,3.456831592,6.322378769,11.01372849,18.09157308,27.70480437,39.20403075,51.172068,62.05294944,70.86472428,77.4013747,81.9695439,85.04758019,87.08109299,88.41322836,89.28475511,89.85667955,90.23411099
A4,5.01E-31,9.23E-25,4.26E-21,1.70E-18,1.77E-16,7.85E-15,1.94E-13,3.13E-12,3.63E-11,3.25E-10,2.36E-09,1.44E-08,7.64E-08,3.57E-07,1.50E-06,5.75E-06,2.03E-05,6.67E-05,0.000205582,0.000597842,0.001650293,0.004345184,0.01095822,0.026565649,0.062099135,0.140327108,0.307132778,0.651797521,1.340983812,2.668768423,5.110760763,9.327974486,15.99507512,25.33357918,36.55903227,47.93807696,57.73314381,65.10458871,70.14547533,73.39139383
A5,4.00E-31,7.68E-25,3.64E-21,1.47E-18,1.55E-16,6.98E-15,1.74E-13,2.83E-12,3.30E-11,2.98E-10,2.18E-09,1.34E-08,7.12E-08,3.34E-07,1.41E-06,5.43E-06,1.92E-05,6.34E-05,0.000195973,0.000571659,0.001582655,0.004178774,0.010566798,0.025682603,0.060183603,0.136324769,0.299073218,0.636175399,1.311964737,2.617624182,5.026919956,9.204804208,15.8438751,25.20117098,36.52625986,48.08112371,58.07940203,65.62956866,70.80169054,74.13373555
A6,2.58E-32,8.79E-26,5.82E-22,2.99E-19,3.79E-17,1.98E-15,5.62E-14,1.02E-12,1.31E-11,1.29E-10,1.02E-09,6.74E-09,3.83E-08,1.91E-07,8.54E-07,3.47E-06,1.29E-05,4.46E-05,0.000144305,0.00043918,0.001265942,0.00347364,0.009112722,0.02294241,0.055610824,0.130129639,0.294565995,0.645793075,1.370994822,2.811757196,5.538054899,10.36128626,18.10991353,28.9957642,41.89906962,54.5847922,65.06003148,72.59676662,77.53512978,80.59621304
A7,2.68E-26,9.74E-21,1.74E-17,3.54E-15,2.19E-13,6.34E-12,1.09E-10,1.29E-09,1.14E-08,7.95E-08,4.63E-07,2.31E-06,1.01E-05,3.98E-05,0.000142378,0.000469041,0.001437396,0.004131672,0.011216424,0.028925287,0.071203424,0.167976613,0.380927665,0.831954109,1.750323604,3.539218546,6.836805313,12.47983891,21.19150683,32.91468619,46.27313593,59.04441397,69.46611599,76.99117567,81.9962845,85.16781639,87.12844896,88.32894183,89.0635798,89.51519417
A8,2.75E-25,6.32E-20,8.65E-17,1.45E-14,7.73E-13,1.99E-11,3.10E-10,3.34E-09,2.72E-08,1.78E-07,9.71E-07,4.57E-06,1.90E-05,7.12E-05,0.000243442,0.000768447,0.002262316,0.006261366,0.016400082,0.04087907,0.097420056,0.222804097,0.490401885,1.040519716,2.128194065,4.185630431,7.868596127,13.99280276,23.2035702,35.35193193,49.05447014,62.17672782,73.01655951,80.99459848,86.42023204,89.93737384,92.16008485,93.5497438,94.4170461,94.96024166
A9,4.32E-26,1.44E-20,2.46E-17,4.83E-15,2.90E-13,8.22E-12,1.39E-10,1.61E-09,1.40E-08,9.68E-08,5.56E-07,2.75E-06,1.19E-05,4.65E-05,0.000164799,0.000538616,0.001638362,0.004676361,0.012611006,0.032317095,0.079076082,0.185480448,0.41831006,0.908763012,1.902157152,3.827353518,7.35914875,13.37736986,22.63916424,35.08645579,49.28566706,62.90783427,74.08068427,82.19467006,87.6221707,91.07938489,93.22672232,94.54713702,95.35830305,95.8587583
A10,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06
A11,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06,9.57E-06
A12,6.11E-30,4.40E-24,1.17E-20,3.17E-18,2.44E-16,8.46E-15,1.70E-13,2.28E-12,2.26E-11,1.75E-10,1.12E-09,6.09E-09,2.89E-08,1.22E-07,4.68E-07,1.64E-06,5.35E-06,1.63E-05,4.66E-05,0.000126325,0.00032643,0.000807059,0.001916628,0.004387028,0.009707289,0.020818562,0.043371876,0.087943055,0.173820361,0.335257978,0.63131679,1.16022088,2.077550278,3.612503763,6.065251452,9.752769695,14.87010248,21.29224058,28.46229613,35.54062801
B1,1.38E-18,2.28E-14,6.70E-12,3.77E-10,8.60E-09,1.11E-07,9.59E-07,6.23E-06,3.25E-05,0.000142074,0.000540137,0.001828046,0.005611135,0.015847658,0.041655202,0.102820086,0.240027739,0.532738748,1.12800889,2.281115702,4.397859964,8.039533177,13.80617279,22.01234261,32.25276407,43.28335789,53.55248346,61.97617408,68.25048143,72.62827213,75.56461184,77.49368069,78.75047317,79.56878685,80.10376001,80.45585314,80.68948061,80.8458806,80.95154007,81.02357402
B2,2.41E-18,3.54E-14,9.68E-12,5.19E-10,1.14E-08,1.42E-07,1.20E-06,7.62E-06,3.89E-05,0.000167292,0.000625788,0.002086824,0.006318857,0.017622959,0.045780894,0.111768723,0.258236898,0.567605507,1.190896287,2.387906681,4.568583474,8.297879404,14.18351301,22.56342351,33.07718692,44.51885252,55.3183188,64.31253864,71.11106345,75.91749853,79.17810076,81.34099084,82.76185945,83.69373941,84.30691074,84.71285166,84.98367906,85.1659095,85.28961573,85.37434332
B3,1.10E-18,1.92E-14,5.82E-12,3.35E-10,7.78E-09,1.02E-07,8.93E-07,5.86E-06,3.08E-05,0.000136051,0.000521263,0.001776695,0.005489134,0.015596888,0.04122731,0.102302663,0.240015749,0.535260089,1.138592051,2.312991939,4.479595748,8.226586269,14.19254414,22.72908219,33.4351678,45.01183399,55.81309928,64.67760305,71.27424401,75.86852322,78.9428915,80.95749694,82.26660464,83.11679123,83.67121043,84.03521801,84.27618567,84.4371343,84.54562841,84.61943772
B4,1.85E-16,1.14E-12,1.87E-10,6.97E-09,1.15E-07,1.15E-06,7.97E-06,4.28E-05,0.000188203,0.000708595,0.002350938,0.007026161,0.019234249,0.048855532,0.116308437,0.261564727,0.558982122,1.139846919,2.222466735,4.142426972,7.358640721,12.38496318,19.58980216,28.886027,39.52164731,50.25706181,59.89676466,67.74700503,73.68780121,77.96462437,80.9501684,82.99968771,84.39663182,85.34794196,85.99775212,86.44402888,86.75261177,86.96759674,87.11855514,87.22540028
B5,1.01E-17,1.13E-13,2.66E-11,1.27E-09,2.57E-08,2.99E-07,2.38E-06,1.43E-05,7.00E-05,0.000288855,0.00104162,0.003359141,0.009862732,0.026731691,0.067613587,0.160964801,0.363058576,0.779508996,1.597468023,3.125421053,5.821176191,10.25528814,16.92538391,25.8928796,36.45172011,47.24306335,56.89069725,64.6064241,70.2896596,74.25408652,76.93193947,78.71134892,79.88671044,80.66350791,81.17920076,81.52387302,81.75608708,81.91388322,82.0220567,82.0968654
B6,1.34E-15,5.41E-12,6.97E-10,2.19E-08,3.17E-07,2.82E-06,1.79E-05,8.85E-05,0.000362867,0.001282249,0.004016928,0.011392337,0.029718128,0.072183825,0.164821804,0.356419311,0.733992462,1.444930925,2.724260085,4.917964892,8.478112744,13.88627946,21.46415902,31.10448214,42.10113874,53.30113514,63.55368013,72.12441572,78.80418305,83.75890873,87.31844858,89.82848967,91.58235017,92.804476,93.65728774,94.25480109,94.67581125,94.97440972,95.18768551,95.34112644
B7,1.67E-14,5.99E-11,7.19E-09,2.15E-07,2.99E-06,2.57E-05,0.000158705,0.000767725,0.00308368,0.010695913,0.032943455,0.091959979,0.236209447,0.564540038,1.264987369,2.668181881,5.297607042,9.856130192,17.03202949,27.0448518,39.15528201,51.72066483,63.00040228,71.98546066,78.54839981,83.08229451,86.11714681,88.11873605,89.43352325,90.29933129,90.8730855,91.25650852,91.51517257,91.69140495,91.81267486,91.8969445,91.95606271,91.99791867,92.02781522,92.0493505
B8,1.64E-15,9.77E-12,1.58E-09,5.80E-08,9.52E-07,9.36E-06,6.47E-05,0.000344911,0.001510067,0.005657617,0.018685469,0.055599069,0.151490785,0.382557717,0.902942444,2.001401402,4.16784178,8.115869559,14.62849973,24.08176115,35.82020665,48.10393384,59.02598768,67.52469407,73.54101166,77.55748661,80.1558658,81.81462131,82.87129325,83.54738532,83.9834458,84.2674816,84.45448561,84.57896278,84.66272605,84.71969346,84.75883611,84.78599723,84.80502266,84.81846977
B9,1.81E-14,6.20E-11,7.25E-09,2.13E-07,2.92E-06,2.49E-05,0.000152101,0.000729764,0.002910075,0.010028679,0.03070856,0.085268584,0.217975517,0.518754739,1.158277101,2.436945833,4.834068455,9.007672848,15.64338529,25.06265656,36.73615938,49.20773545,60.7457929,70.19038794,77.2443574,82.20131613,85.56156026,87.7984676,89.2780514,90.25756104,90.90939023,91.34648727,91.64222075,91.84422274,91.98354302,92.08055825,92.14875036,92.19711913,92.23172774,92.25669879
