,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
A1,1.37E-28,2.48E-22,1.13E-18,4.49E-16,4.64E-14,2.05E-12,5.05E-11,8.10E-10,9.37E-09,8.37E-08,6.07E-07,3.70E-06,1.96E-05,9.12E-05,0.000382822,0.001464103,0.005161977,0.016934462,0.052098134,0.151297025,0.417095744,1.096806401,2.762543817,6.688124522,15.60932834,35.19791939,76.78311939,162.0229272,329.918752,644.4232021,1194.31982,2066.212866,3274.895802,4691.417072,6074.278742,7214.313339,8037.158597,8579.818861,8918.995161,9125.192452
A2,1.81E-25,7.82E-20,1.55E-16,3.38E-14,2.21E-12,6.70E-11,1.20E-09,1.46E-08,1.33E-07,9.54E-07,5.68E-06,2.90E-05,0.000129653,0.000519218,0.001889401,0.006325297,0.019679484,0.057380191,0.157896789,0.412499369,1.028264158,2.456360264,5.643978636,12.51215109,26.83009156,55.75031928,112.3580647,219.543527,414.9377182,754.7079418,1309.719782,2142.809159,3261.839335,4574.788032,5904.104233,7073.014861,7986.568048,8641.051444,9083.764574,9373.207347
A3,4.12E-24,1.01E-18,1.43E-15,2.47E-13,1.34E-11,3.51E-10,5.54E-09,6.05E-08,4.98E-07,3.29E-06,1.81E-05,8.60E-05,0.000360215,0.001357452,0.004667871,0.014821154,0.043874803,0.122066838,0.32132317,0.80483663,1.927456808,4.431510684,9.81552345,21.00443264,43.52144192,87.43890133,170.3968688,321.6994164,586.3990356,1025.542251,1704.522424,2660.96964,3859.405252,5171.799726,6423.548483,7477.324367,8280.2702,8850.097863,9236.390889,9491.410538
A4,8.11E-27,6.38E-21,1.79E-17,5.02E-15,3.97E-13,1.41E-11,2.89E-10,3.95E-09,3.97E-08,3.12E-07,2.02E-06,1.11E-05,5.32E-05,0.000227226,0.000877615,0.003106436,0.010184255,0.031196957,0.089949789,0.245634293,0.638669121,1.588285022,3.792563196,8.724116915,19.38540795,41.69538651,86.91223577,175.5608159,342.979621,644.909999,1156.997572,1955.099384,3064.919059,4402.860599,5778.313762,6989.907648,7927.450846,8587.256811,9023.874868,9302.703763
A5,1.10E-27,1.26E-21,4.41E-18,1.44E-15,1.29E-13,5.05E-12,1.12E-10,1.65E-09,1.77E-08,1.47E-07,1.00E-06,5.78E-06,2.89E-05,0.000128579,0.000515468,0.001889305,0.006400182,0.020220216,0.060028772,0.168532799,0.449907123,1.147360905,2.806439857,6.606559157,15.01055774,32.99011311,70.23367346,144.8683314,289.0405068,555.3434385,1018.836571,1761.559214,2824.126095,4138.804319,5517.135696,6744.177908,7695.054309,8360.498252,8796.455519,9071.460302
A6,1.56E-27,1.65E-21,5.51E-18,1.74E-15,1.52E-13,5.83E-12,1.28E-10,1.85E-09,1.95E-08,1.61E-07,1.08E-06,6.17E-06,3.06E-05,0.000134887,0.000536556,0.001952292,0.00656837,0.020617869,0.060836191,0.169811845,0.45082796,1.14368186,2.783446663,6.521161333,14.74929901,32.27746571,68.44690402,140.7026644,280.0151227,537.4108199,987.164344,1714.816831,2773.843373,4117.560971,5570.620237,6906.473819,7971.980633,8735.081719,9243.702363,9568.555495
A7,7.08E-23,1.35E-17,1.65E-14,2.57E-12,1.29E-10,3.15E-09,4.70E-08,4.89E-07,3.86E-06,2.45E-05,0.000130335,0.000599564,0.002440785,0.008954008,0.030029109,0.093139981,0.269719131,0.734972154,1.896925541,4.662540118,10.96368643,24.75337716,53.80384377,112.7480897,227.7047049,441.9053117,818.7309454,1432.509649,2333.443084,3490.224134,4760.978662,5951.205453,6919.435883,7626.27777,8105.89768,8417.355844,8615.011778,8739.272141,8817.306009,8866.496591
A8,1.47E-23,3.87E-18,5.74E-15,1.02E-12,5.67E-11,1.51E-09,2.43E-08,2.69E-07,2.25E-06,1.50E-05,8.33E-05,0.000399327,0.001688005,0.006412106,0.022213646,0.071022881,0.211621752,0.592380186,1.56832277,3.949195053,9.502874771,21.9342494,48.70109015,104.1822216,214.6898786,424.9812932,802.7829898,1430.812639,2369.559196,3591.169595,4941.334592,6203.046854,7219.789404,7951.764697,8440.602259,8752.953276,8948.102589,9068.984116,9143.842456,9190.410634
A9,2.59E-23,6.12E-18,8.52E-15,1.45E-12,7.78E-11,2.02E-09,3.16E-08,3.43E-07,2.81E-06,1.84E-05,0.000100872,0.000476847,0.001990482,0.007473515,0.025611383,0.0810596,0.239235911,0.66368561,1.742218367,4.351782167,10.39129838,23.80883623,52.49025335,111.522526,228.2961901,449.0173707,842.9839553,1493.99676,2462.474438,3719.392359,5108.739399,6410.929022,7465.65452,8229.672153,8743.168802,9073.282019,9280.698296,9409.849929,9490.217136,9540.438895
A10,-192.7011198,-171.958157,-118.7037051,-79.66768519,-33.30973934,-5.031071698,19.99601948,21.90078912,-3.555997562,-11.36961491,-35.87936124,-69.68635021,-71.4329235,-49.25336674,-29.83797065,-15.37155517,12.55865293,36.38003133,46.16255198,23.33952085,6.961922365,7.496369515,-0.618676022,58.94866561,27.81177461,45.98511552,63.35251013,80.38640972,114.24043,141.0226457,174.4448327,187.2288085,195.4379168,254.8320975,237.4796674,263.8642544,266.6968243,267.9303283,277.3836295,270.076668
