filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
batch_0.fast5	006f009b-c49a-4c09-8e0a-3fa2f1c83736	91f216faec432f6717a2618d5a951d151cf86098	0	309	1	11319.013280	14.522244	4374	TRUE	11323.576361	2999	9.959163	327	10.971762	0.000000	90.599541	14.930805	90.599541	14.930805
batch_0.fast5	0016f4e6-0d2c-47e9-8008-fc8521e40b26	91f216faec432f6717a2618d5a951d151cf86098	0	25	1	11382.673307	10.059097	3029	TRUE	11383.945883	2646	8.786521	887	9.878089	0.000000	84.076378	13.336253	84.076378	13.336253
batch_0.fast5	0046c12f-042e-4c2e-bb46-b37da8fcd0db	91f216faec432f6717a2618d5a951d151cf86098	0	192	1	11478.850266	9.223108	2778	TRUE	11480.305777	2339	7.767596	643	9.980990	0.000000	74.654022	12.176579	74.654022	12.176579
batch_0.fast5	005583c0-5f12-410c-94d8-c8c986e33b3e	91f216faec432f6717a2618d5a951d151cf86098	0	216	3	11580.711487	10.298805	3102	TRUE	11583.051461	2397	7.958831	494	10.969523	0.000000	70.740128	11.161864	70.740128	11.161864
batch_0.fast5	00567a21-0990-452c-84b4-c438a7c34bd8	91f216faec432f6717a2618d5a951d151cf86098	0	481	4	11502.428619	9.549137	2876	TRUE	11504.251992	2327	7.725764	690	10.397639	0.000000	80.597351	12.466497	80.597351	12.466497
batch_0.fast5	005b07e0-7d0f-44e0-addf-7199fecd6610	91f216faec432f6717a2618d5a951d151cf86098	0	31	1	11416.724768	10.503984	3163	TRUE	11418.134130	2739	9.094622	614	10.186522	0.000000	80.597351	13.916090	80.597351	13.916090
batch_0.fast5	004a3707-2f5f-4744-b46d-fb6797a65cc9	91f216faec432f6717a2618d5a951d151cf86098	0	318	2	11515.987716	10.987052	3309	TRUE	11517.275896	2921	9.698871	919	8.153128	0.000000	65.521591	8.117720	65.521591	8.117720
batch_0.fast5	00c1724c-49a0-4551-81ca-7db3c0d46c5d	91f216faec432f6717a2618d5a951d151cf86098	0	322	4	11441.440239	15.320385	4614	TRUE	11442.891766	4177	13.868858	1075	11.491940	0.000000	82.481827	13.336253	82.481827	13.336253
batch_0.fast5	00ed5025-86c6-4eaf-a1df-6b5129e5d603	91f216faec432f6717a2618d5a951d151cf86098	0	418	2	11533.434263	13.033533	3925	TRUE	11536.477092	3009	9.990704	877	10.993188	0.000000	79.147758	12.466497	79.147758	12.466497
batch_0.fast5	0161c7af-68ff-45fe-9c4f-96d89b0f7375	91f216faec432f6717a2618d5a951d151cf86098	0	445	3	11414.629814	6.551793	1973	TRUE	11414.935259	1881	6.246348	531	11.284677	0.000000	86.250763	12.901375	86.250763	12.901375
